topic,payload_raw,t_server_utc,gx,gy,gz,t_device_ms,_id,source
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2217507}",2025-09-02 07:00:44.902721+00:00,0.2441,0.0,-0.5493,2217507,68b6961c125e75235a2434e9,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2221507}",2025-09-02 07:00:48.934223+00:00,0.1831,0.0,-0.4883,2221507,68b69620125e75235a2434ee,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2222507}",2025-09-02 07:00:50.030575+00:00,0.1831,0.061,-0.4883,2222507,68b69622125e75235a2434ef,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2227507}",2025-09-02 07:00:54.732670+00:00,0.1831,0.061,-0.4883,2227507,68b69626125e75235a2434f3,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2228507}",2025-09-02 07:00:55.752401+00:00,0.2441,0.0,-0.5493,2228507,68b69627125e75235a2434f4,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2230507}",2025-09-02 07:00:57.925838+00:00,0.1831,0.0,-0.4883,2230507,68b69629125e75235a2434f5,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.5493,""t_device_ms"":2235507}",2025-09-02 07:01:03.158007+00:00,0.1831,0.061,-0.5493,2235507,68b6962f125e75235a2434f7,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2236507}",2025-09-02 07:01:03.748440+00:00,0.2441,0.0,-0.5493,2236507,68b6962f125e75235a2434f8,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2238507}",2025-09-02 07:01:05.789448+00:00,0.2441,0.0,-0.4883,2238507,68b69631125e75235a2434f9,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.5493,""t_device_ms"":2243507}",2025-09-02 07:01:10.805690+00:00,0.1831,0.061,-0.5493,2243507,68b69636125e75235a2434fc,tinydb
