time,value
2025-09-09T03:13:23.467263339Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:24.479966791Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:25.518937712Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:26.538349918Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:27.544253831Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:28.538078594Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:29.565536284Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:30.586808458Z,"{""lat"":-37.8480214,""lon"":145.1142842}"
2025-09-09T03:13:31.594926952Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:32.632435845Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:33.638948265Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:34.624910083Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:35.659563608Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:36.663148706Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:37.658350517Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:38.677992749Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:39.687099196Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:40.727150058Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:41.742723999Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:42.727948943Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:43.727835321Z,"{""lat"":-37.8480209,""lon"":145.1142654}"
2025-09-09T03:13:44.747905309Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:45.772832766Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:46.779936362Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:47.783146118Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:48.834113152Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:49.818198275Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:50.841842801Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
2025-09-09T03:13:51.834998423Z,"{""lat"":-37.8480023,""lon"":145.1142992}"
