_id,topic,payload_raw,t_server_utc,gx,gy,gz,t_device_ms
68ad6ea58fa4330d3d2c0d37,sit225/gyroscope,"{""gx"":0.3662,""gy"":0.9155,""gz"":-1.1597,""t_device_ms"":1403265}",2025-08-26T08:21:57.950893+00:00,0.3662,0.9155,-1.1597,1403265
68ad6ea78fa4330d3d2c0d38,sit225/gyroscope,"{""gx"":-0.3662,""gy"":-1.5869,""gz"":-0.0610,""t_device_ms"":1404265}",2025-08-26T08:21:59.068351+00:00,-0.3662,-1.5869,-0.061,1404265
68ad6ea88fa4330d3d2c0d39,sit225/gyroscope,"{""gx"":0.4883,""gy"":1.0376,""gz"":-0.7324,""t_device_ms"":1405265}",2025-08-26T08:22:00.068010+00:00,0.4883,1.0376,-0.7324,1405265
68ad6ea88fa4330d3d2c0d3a,sit225/gyroscope,"{""gx"":1.1597,""gy"":0.5493,""gz"":-0.4883,""t_device_ms"":1406265}",2025-08-26T08:22:00.940245+00:00,1.1597,0.5493,-0.4883,1406265
68ad6ea98fa4330d3d2c0d3b,sit225/gyroscope,"{""gx"":0.6104,""gy"":0.6104,""gz"":0.2441,""t_device_ms"":1407265}",2025-08-26T08:22:01.952048+00:00,0.6104,0.6104,0.2441,1407265
68ad6eab8fa4330d3d2c0d3c,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.4883,""gz"":0.1831,""t_device_ms"":1408265}",2025-08-26T08:22:03.085776+00:00,0.1831,0.4883,0.1831,1408265
68ad6eac8fa4330d3d2c0d3d,sit225/gyroscope,"{""gx"":0.4272,""gy"":0.3052,""gz"":-0.3662,""t_device_ms"":1409265}",2025-08-26T08:22:04.368660+00:00,0.4272,0.3052,-0.3662,1409265
68ad6ead8fa4330d3d2c0d3e,sit225/gyroscope,"{""gx"":-0.1221,""gy"":-0.2441,""gz"":-0.1831,""t_device_ms"":1410265}",2025-08-26T08:22:05.168547+00:00,-0.1221,-0.2441,-0.1831,1410265
68ad6ead8fa4330d3d2c0d3f,sit225/gyroscope,"{""gx"":0.9766,""gy"":0.7935,""gz"":-1.2817,""t_device_ms"":1411265}",2025-08-26T08:22:05.596495+00:00,0.9766,0.7935,-1.2817,1411265
68ad6eaf8fa4330d3d2c0d40,sit225/gyroscope,"{""gx"":-0.6714,""gy"":-1.0986,""gz"":0.0000,""t_device_ms"":1412265}",2025-08-26T08:22:07.084668+00:00,-0.6714,-1.0986,0.0,1412265
68ad6eaf8fa4330d3d2c0d41,sit225/gyroscope,"{""gx"":0.3662,""gy"":0.4883,""gz"":-0.7324,""t_device_ms"":1413265}",2025-08-26T08:22:07.889709+00:00,0.3662,0.4883,-0.7324,1413265
68ad6eb08fa4330d3d2c0d42,sit225/gyroscope,"{""gx"":-0.3052,""gy"":-0.6714,""gz"":-0.6714,""t_device_ms"":1414265}",2025-08-26T08:22:08.907552+00:00,-0.3052,-0.6714,-0.6714,1414265
68ad6eb28fa4330d3d2c0d43,sit225/gyroscope,"{""gx"":0.3662,""gy"":0.6714,""gz"":-0.9766,""t_device_ms"":1415265}",2025-08-26T08:22:10.035463+00:00,0.3662,0.6714,-0.9766,1415265
68ad6eb28fa4330d3d2c0d44,sit225/gyroscope,"{""gx"":0.4272,""gy"":-0.6104,""gz"":0.0610,""t_device_ms"":1416265}",2025-08-26T08:22:10.551544+00:00,0.4272,-0.6104,0.061,1416265
68ad6eb48fa4330d3d2c0d45,sit225/gyroscope,"{""gx"":0.0610,""gy"":-0.7324,""gz"":-0.2441,""t_device_ms"":1417265}",2025-08-26T08:22:12.001450+00:00,0.061,-0.7324,-0.2441,1417265
68ad6eb58fa4330d3d2c0d46,sit225/gyroscope,"{""gx"":0.5493,""gy"":-0.4883,""gz"":-1.2817,""t_device_ms"":1418265}",2025-08-26T08:22:13.067505+00:00,0.5493,-0.4883,-1.2817,1418265
68ad6eb68fa4330d3d2c0d47,sit225/gyroscope,"{""gx"":0.1831,""gy"":-0.3052,""gz"":-1.2817,""t_device_ms"":1419265}",2025-08-26T08:22:14.085465+00:00,0.1831,-0.3052,-1.2817,1419265
68ad6eb68fa4330d3d2c0d48,sit225/gyroscope,"{""gx"":0.0000,""gy"":-0.7935,""gz"":-0.9766,""t_device_ms"":1420265}",2025-08-26T08:22:14.852742+00:00,0.0,-0.7935,-0.9766,1420265
68ad6eb78fa4330d3d2c0d49,sit225/gyroscope,"{""gx"":0.9766,""gy"":0.0000,""gz"":-2.1362,""t_device_ms"":1421265}",2025-08-26T08:22:15.936396+00:00,0.9766,0.0,-2.1362,1421265
68ad6eb98fa4330d3d2c0d4a,sit225/gyroscope,"{""gx"":0.3662,""gy"":-0.9766,""gz"":-1.5259,""t_device_ms"":1422265}",2025-08-26T08:22:17.139944+00:00,0.3662,-0.9766,-1.5259,1422265
68ad6eb98fa4330d3d2c0d4b,sit225/gyroscope,"{""gx"":-0.3662,""gy"":-1.5869,""gz"":-0.9766,""t_device_ms"":1423265}",2025-08-26T08:22:17.568082+00:00,-0.3662,-1.5869,-0.9766,1423265
68ad6ebb8fa4330d3d2c0d4c,sit225/gyroscope,"{""gx"":0.1221,""gy"":-0.6104,""gz"":-1.5869,""t_device_ms"":1424265}",2025-08-26T08:22:19.002545+00:00,0.1221,-0.6104,-1.5869,1424265
68ad6ebb8fa4330d3d2c0d4d,sit225/gyroscope,"{""gx"":0.7935,""gy"":0.3662,""gz"":-1.0376,""t_device_ms"":1425265}",2025-08-26T08:22:19.868795+00:00,0.7935,0.3662,-1.0376,1425265
68ad6ebd8fa4330d3d2c0d4e,sit225/gyroscope,"{""gx"":-0.0610,""gy"":-0.7324,""gz"":-0.2441,""t_device_ms"":1426265}",2025-08-26T08:22:21.001303+00:00,-0.061,-0.7324,-0.2441,1426265
68ad6ebe8fa4330d3d2c0d4f,sit225/gyroscope,"{""gx"":-0.2441,""gy"":0.3052,""gz"":-1.7090,""t_device_ms"":1427265}",2025-08-26T08:22:22.024635+00:00,-0.2441,0.3052,-1.709,1427265
68ad6ebe8fa4330d3d2c0d50,sit225/gyroscope,"{""gx"":0.0610,""gy"":0.5493,""gz"":-2.9297,""t_device_ms"":1428265}",2025-08-26T08:22:22.541275+00:00,0.061,0.5493,-2.9297,1428265
68ad6ebf8fa4330d3d2c0d51,sit225/gyroscope,"{""gx"":-0.2441,""gy"":-3.4790,""gz"":-1.4648,""t_device_ms"":1429265}",2025-08-26T08:22:23.874375+00:00,-0.2441,-3.479,-1.4648,1429265
68ad6ec08fa4330d3d2c0d52,sit225/gyroscope,"{""gx"":0.3052,""gy"":-1.0376,""gz"":-2.6245,""t_device_ms"":1430265}",2025-08-26T08:22:24.941505+00:00,0.3052,-1.0376,-2.6245,1430265
68ad6ec18fa4330d3d2c0d53,sit225/gyroscope,"{""gx"":-0.1831,""gy"":-1.2207,""gz"":-2.6245,""t_device_ms"":1431265}",2025-08-26T08:22:25.919848+00:00,-0.1831,-1.2207,-2.6245,1431265
68ad6ec28fa4330d3d2c0d54,sit225/gyroscope,"{""gx"":0.1831,""gy"":-0.3662,""gz"":-2.0752,""t_device_ms"":1432265}",2025-08-26T08:22:26.932160+00:00,0.1831,-0.3662,-2.0752,1432265
68ad6ec48fa4330d3d2c0d55,sit225/gyroscope,"{""gx"":-0.1831,""gy"":-1.4038,""gz"":-1.6479,""t_device_ms"":1433265}",2025-08-26T08:22:28.018248+00:00,-0.1831,-1.4038,-1.6479,1433265
68ad6ec58fa4330d3d2c0d56,sit225/gyroscope,"{""gx"":-0.3052,""gy"":0.0000,""gz"":-2.5635,""t_device_ms"":1434265}",2025-08-26T08:22:29.022858+00:00,-0.3052,0.0,-2.5635,1434265
68ad6ec68fa4330d3d2c0d57,sit225/gyroscope,"{""gx"":-1.5259,""gy"":-2.0142,""gz"":-1.5869,""t_device_ms"":1435265}",2025-08-26T08:22:30.041057+00:00,-1.5259,-2.0142,-1.5869,1435265
68ad6ec68fa4330d3d2c0d58,sit225/gyroscope,"{""gx"":-0.2441,""gy"":-1.1597,""gz"":-1.8311,""t_device_ms"":1436265}",2025-08-26T08:22:30.834437+00:00,-0.2441,-1.1597,-1.8311,1436265
68ad6ec78fa4330d3d2c0d59,sit225/gyroscope,"{""gx"":-0.1221,""gy"":-0.4272,""gz"":-0.5493,""t_device_ms"":1437265}",2025-08-26T08:22:31.868802+00:00,-0.1221,-0.4272,-0.5493,1437265
68ad6ec88fa4330d3d2c0d5a,sit225/gyroscope,"{""gx"":0.1831,""gy"":-0.7935,""gz"":1.2817,""t_device_ms"":1438265}",2025-08-26T08:22:32.895207+00:00,0.1831,-0.7935,1.2817,1438265
68ad6ec98fa4330d3d2c0d5b,sit225/gyroscope,"{""gx"":0.3052,""gy"":1.2207,""gz"":-0.9766,""t_device_ms"":1439265}",2025-08-26T08:22:33.901215+00:00,0.3052,1.2207,-0.9766,1439265
68ad6eca8fa4330d3d2c0d5c,sit225/gyroscope,"{""gx"":-0.4272,""gy"":-0.6104,""gz"":0.9766,""t_device_ms"":1440265}",2025-08-26T08:22:34.773641+00:00,-0.4272,-0.6104,0.9766,1440265
68ad6ecc8fa4330d3d2c0d5d,sit225/gyroscope,"{""gx"":0.1831,""gy"":0.6714,""gz"":0.3662,""t_device_ms"":1441265}",2025-08-26T08:22:36.001132+00:00,0.1831,0.6714,0.3662,1441265
