Timestamp,X,Y,Z
20250804-234159,0.061,0.0,-0.488
20250804-234200,0.183,0.0,-0.488
20250804-234201,0.183,0.061,-0.427
20250804-234202,0.183,0.0,-0.427
20250804-234203,0.122,0.0,-0.488
20250804-234204,0.183,0.0,-0.427
20250804-234205,0.183,0.0,-0.427
20250804-234206,0.183,0.0,-0.427
20250804-234207,0.244,0.0,-0.427
20250804-234208,0.183,0.061,-0.427
20250804-234209,0.244,0.0,-0.488
20250804-234210,0.183,0.0,-0.427
20250804-234211,0.183,0.0,-0.488
20250804-234212,0.183,0.0,-0.488
20250804-234213,0.183,0.061,-0.488
20250804-234214,0.183,0.0,-0.488
20250804-234215,0.183,0.0,-0.427
20250804-234216,0.183,0.0,-0.488
20250804-234217,0.183,0.0,-0.488
20250804-234218,0.183,0.0,-0.427
20250804-234219,0.183,0.0,-0.488
20250804-234220,0.183,0.0,-0.427
20250804-234221,0.183,0.0,-0.427
20250804-234222,0.183,0.0,-0.427
20250804-234223,0.183,0.0,-0.488
20250804-234224,0.183,0.0,-0.427
20250804-234225,0.183,0.0,-0.488
20250804-234226,0.183,0.0,-0.427
20250804-234227,0.183,0.061,-0.488
20250804-234228,0.122,0.0,-0.427
20250804-234229,0.122,0.0,-0.488
20250804-234230,0.183,0.0,-0.488
20250804-234231,0.183,0.0,-0.427
20250804-234232,0.183,0.0,-0.427
20250804-234233,0.183,0.0,-0.488
20250804-234234,0.183,0.061,-0.488
20250804-234235,0.122,0.0,-0.488
20250804-234236,0.183,0.0,-0.427
20250804-234237,0.183,0.0,-0.488
20250804-234238,0.183,0.0,-0.488
20250804-234239,0.122,0.061,-0.427
20250804-234240,0.183,0.0,-0.427
20250804-234241,0.183,0.0,-0.488
20250804-234242,0.183,0.0,-0.427
20250804-234243,0.183,0.061,-0.488
20250804-234244,-0.183,0.366,-0.244
20250804-234245,0.122,0.0,-0.488
20250804-234246,0.244,0.0,-0.488
20250804-234247,0.183,0.0,-0.427
20250804-234248,0.183,0.0,-0.427
20250804-234249,0.183,0.0,-0.488
20250804-234250,0.122,0.0,-0.488
20250804-234251,0.183,0.0,-0.488
20250804-234252,0.183,0.0,-0.488
20250804-234253,0.183,0.0,-0.427
20250804-234254,0.183,0.0,-0.488
20250804-234255,0.183,0.0,-0.488
20250804-234256,0.183,0.0,-0.427
20250804-234257,0.183,0.0,-0.488
20250804-234258,0.183,0.0,-0.488
20250804-234259,0.183,0.0,-0.488
20250804-234300,0.183,0.061,-0.427
20250804-234301,0.183,-0.061,-0.488
20250804-234302,0.183,0.0,-0.427
20250804-234303,0.183,0.0,-0.488
20250804-234304,0.183,0.061,-0.488
20250804-234305,0.183,0.0,-0.488
20250804-234306,0.183,0.0,-0.427
20250804-234307,0.183,0.0,-0.427
20250804-234308,0.244,0.061,-0.488
20250804-234309,0.183,0.0,-0.488
20250804-234310,0.183,0.0,-0.488
20250804-234311,0.183,0.0,-0.488
20250804-234312,0.183,0.0,-0.488
20250804-234313,0.183,0.061,-0.488
20250804-234314,0.183,0.0,-0.488
20250804-234315,0.183,0.0,-0.427
20250804-234316,0.183,0.0,-0.488
20250804-234317,0.183,0.0,-0.488
20250804-234318,0.183,0.0,-0.488
20250804-234319,0.183,0.0,-0.488
20250804-234320,0.183,0.0,-0.427
20250804-234321,0.183,0.0,-0.427
20250804-234322,0.183,0.0,-0.427
20250804-234323,0.183,0.0,-0.488
20250804-234324,0.427,0.0,-0.427
20250804-234325,0.549,0.061,-0.366
20250804-234326,0.854,0.427,-0.427
20250804-234327,-0.305,-0.183,-0.61
20250804-234328,0.183,0.0,-0.488
20250804-234329,0.183,0.0,-0.427
20250804-234330,0.244,0.0,-0.488
20250804-234331,0.183,0.061,-0.427
20250804-234332,0.183,0.0,-0.488
20250804-234333,0.122,0.0,-0.488
20250804-234334,0.183,0.061,-0.488
20250804-234335,0.183,0.0,-0.427
20250804-234336,0.183,0.061,-0.488
20250804-234337,0.183,0.0,-0.427
20250804-234338,0.122,0.0,-0.488
20250804-234339,0.183,0.0,-0.427
20250804-234340,0.183,0.0,-0.427
20250804-234341,0.244,0.061,-0.427
20250804-234342,0.183,0.0,-0.488
20250804-234343,0.244,0.0,-0.427
20250804-234344,0.183,0.0,-0.427
20250804-234345,0.183,0.0,-0.427
20250804-234346,0.244,0.061,-0.488
20250804-234347,0.122,0.0,-0.488
20250804-234348,0.183,0.0,-0.488
20250804-234349,0.183,0.0,-0.488
20250804-234350,0.122,0.0,-0.488
20250804-234351,0.183,0.0,-0.427
20250804-234352,0.183,0.0,-0.488
20250804-234353,0.183,0.061,-0.488
20250804-234354,0.244,0.0,-0.488
20250804-234355,0.183,0.0,-0.488
20250804-234356,-0.061,-0.061,-0.427
20250804-234357,0.244,0.0,-0.427
20250804-234358,0.122,0.0,-0.427
20250804-234359,0.183,0.0,-0.427
20250804-234400,0.183,0.0,-0.488
20250804-234401,0.183,0.061,-0.488
20250804-234402,0.183,0.0,-0.488
20250804-234403,0.183,0.0,-0.427
20250804-234404,0.183,0.061,-0.488
20250804-234405,0.122,0.0,-0.488
20250804-234406,0.183,0.0,-0.427
20250804-234407,0.183,-0.061,-0.427
20250804-234408,0.183,0.0,-0.427
20250804-234409,0.183,0.0,-0.488
20250804-234410,0.244,0.0,-0.488
20250804-234411,0.183,0.061,-0.549
20250804-234412,0.061,-0.061,-0.427
20250804-234413,2.075,0.366,-0.305
20250804-234414,4.639,0.061,0.183
20250804-234415,5.92,0.793,0.977
20250804-234416,0.061,-0.061,-0.488
20250804-234417,0.122,0.0,-0.427
20250804-234418,0.244,0.0,-0.488
20250804-234419,0.183,0.244,-0.427
20250804-234420,0.183,0.0,-0.488
20250804-234421,0.183,-0.122,-0.305
20250804-234422,0.305,-0.244,-0.366
20250804-234423,-6.714,-0.183,-2.136
20250804-234424,0.183,0.0,-0.427
20250804-234425,0.183,0.0,-0.488
20250804-234426,0.183,0.0,-0.488
20250804-234427,0.122,0.0,-0.488
20250804-234428,0.122,0.0,-0.488
20250804-234429,0.183,0.0,-0.549
20250804-234430,0.305,0.549,-0.793
20250804-234431,0.122,0.0,-0.427
20250804-234432,0.183,15.564,-0.488
20250804-234433,0.183,-0.061,-0.488
20250804-234434,0.183,0.0,-0.427
20250804-234435,0.183,0.0,-0.427
20250804-234436,0.183,0.0,-0.488
20250804-234437,0.183,0.0,-0.488
20250804-234438,0.183,0.0,-0.427
20250804-234439,0.183,-0.061,-0.488
20250804-234440,0.183,0.0,-0.427
20250804-234441,0.183,0.0,-0.427
20250804-234442,0.183,0.0,-0.488
20250804-234443,0.183,0.0,-0.427
20250804-234444,0.183,0.061,-0.427
20250804-234445,0.183,0.0,-0.488
20250804-234446,0.122,0.0,-0.488
20250804-234447,0.183,0.061,-0.488
20250804-234448,0.122,0.0,-0.488
20250804-234449,0.183,0.0,-0.427
20250804-234450,0.183,0.061,-0.488
20250804-234451,0.183,0.0,-0.427
20250804-234452,0.183,0.0,-0.488
20250804-234453,0.122,0.0,-0.427
20250804-234454,0.183,0.0,-0.488
20250804-234455,0.183,0.0,-0.427
20250804-234456,0.183,0.0,-0.488
20250804-234457,0.183,0.0,-0.427
20250804-234458,0.183,0.0,-0.488
20250804-234459,0.183,0.0,-0.488
20250804-234500,0.183,0.0,-0.488
20250804-234501,0.183,0.061,-0.427
20250804-234502,0.183,0.0,-0.488
20250804-234503,0.122,0.061,-0.427
20250804-234504,0.183,0.0,-0.488
20250804-234505,0.122,0.0,-0.427
20250804-234506,0.183,0.0,-0.488
20250804-234507,0.183,-0.061,-0.427
20250804-234508,0.183,0.0,-0.427
20250804-234509,0.183,0.0,-0.488
20250804-234510,-25.024,4.089,7.019
20250804-234511,0.183,0.061,-0.488
20250804-234512,0.183,0.061,-0.427
20250804-234513,0.122,0.061,-0.488
20250804-234514,0.488,0.061,-0.61
20250804-234515,-0.732,-0.244,-0.854
20250804-234516,0.122,0.0,-0.488
20250804-234517,0.183,0.061,-0.427
20250804-234518,0.183,0.0,-0.488
20250804-234519,0.183,0.0,-0.427
20250804-234520,0.183,0.0,-0.488
20250804-234521,0.183,0.0,-0.488
20250804-234522,0.183,0.0,-0.427
20250804-234523,0.183,0.0,-0.427
20250804-234524,0.305,0.061,-0.427
20250804-234525,0.183,0.0,-0.488
20250804-234526,0.183,0.0,-0.488
20250804-234528,0.244,0.0,-0.427
20250804-234529,0.183,-0.061,-0.488
20250804-234530,0.183,0.0,-0.427
20250804-234532,0.183,0.0,-0.488
20250804-234534,0.183,0.061,-0.488
20250804-234535,0.183,0.0,-0.488
20250804-234536,0.183,0.0,-0.488
20250804-234537,0.183,0.0,-0.427
20250804-234538,0.183,0.0,-0.427
20250804-234539,0.244,0.0,-0.427
20250804-234540,0.183,0.0,-0.488
20250804-234541,0.183,0.0,-0.488
20250804-234542,0.183,0.0,-0.488
20250804-234543,0.183,0.0,-0.488
20250804-234544,0.183,0.061,-0.427
20250804-234545,0.183,0.0,-0.427
20250804-234546,0.122,0.0,-0.427
20250804-234547,0.183,0.0,-0.488
20250804-234548,0.183,0.0,-0.427
20250804-234549,-0.122,0.0,-0.366
20250804-234550,-0.977,0.305,-0.549
20250804-234551,-2.136,-0.488,-0.793
20250804-234552,3.601,0.244,0.366
20250804-234553,0.671,-0.122,-0.61
20250804-234554,0.671,-0.061,-0.549
20250804-234555,-0.488,0.122,-0.305
20250804-234556,1.221,-0.244,-0.793
20250804-234557,0.122,0.0,-0.427
20250804-234558,-0.244,0.122,-0.366
20250804-234559,0.305,-0.061,-0.549
20250804-234600,0.183,-0.061,-0.427
20250804-234601,-0.183,0.183,-0.366
20250804-234602,0.366,-0.061,-0.488
20250804-234603,0.183,0.0,-0.427
20250804-234604,0.122,0.0,-0.427
20250804-234605,0.305,0.0,-0.488
20250804-234606,0.183,0.0,-0.427
20250804-234607,0.244,0.0,-0.488
20250804-234608,0.122,0.0,-0.488
20250804-234609,0.854,-0.122,-0.488
20250804-234610,-1.709,0.122,-0.793
20250804-234611,-1.099,0.244,-0.366
20250804-234612,-0.122,0.061,-0.427
20250804-234613,-0.916,0.244,-0.305
20250804-234614,0.244,0.0,-0.549
20250804-234615,0.244,0.0,-0.488
20250804-234616,0.122,0.0,-0.488
20250804-234617,1.587,-0.244,14.526
20250804-234618,-0.244,0.183,-0.366
20250804-234619,-0.549,0.061,-0.366
20250804-234620,0.732,-0.061,-0.549
20250804-234621,0.122,0.0,-0.427
20250804-234622,0.732,-0.061,-0.549
20250804-234623,0.183,0.0,-0.488
20250804-234624,0.305,-0.183,-0.549
20250804-234625,-2.197,0.122,-0.549
20250804-234626,-0.122,0.122,-0.305
20250804-234627,0.671,-0.122,-0.61
20250804-234628,-0.671,0.183,-0.305
20250804-234629,0.122,0.0,-0.488
20250804-234630,-0.549,0.244,-0.549
20250804-234631,-0.244,0.061,-0.427
20250804-234632,0.122,0.0,-0.427
20250804-234633,0.122,0.0,-0.488
20250804-234634,0.061,0.061,-0.427
20250804-234635,0.183,0.061,-0.488
20250804-234636,0.244,0.0,-0.488
20250804-234637,0.061,0.061,-0.427
20250804-234638,0.122,0.0,-0.488
20250804-234639,0.183,0.0,-0.488
20250804-234640,0.244,0.0,-0.488
20250804-234641,0.244,0.0,-0.488
20250804-234642,0.183,0.0,-0.488
20250804-234643,0.122,0.061,-0.427
20250804-234644,0.244,0.0,-0.427
20250804-234645,0.244,0.0,-0.488
20250804-234646,0.244,0.0,-0.488
20250804-234647,0.183,0.0,-0.488
20250804-234648,0.122,0.0,-0.488
20250804-234649,-0.122,0.061,-0.366
20250804-234650,0.549,-0.061,-0.549
20250804-234651,-1.16,0.244,-0.305
20250804-234652,0.244,0.0,-0.488
20250804-234653,0.305,0.0,-0.488
20250804-234654,-0.122,0.061,-0.427
20250804-234655,0.122,0.061,-0.427
20250804-234656,0.793,-0.183,-0.244
